node_1|node_2|edge|chunk_id|node_3|node_4|level
proposal|single market for lawful, safe and trustworthy ai applications|This proposal aims to facilitate the development of a single market for lawful, safe and trustworthy AI applications by ensuring legal certainty for investors and innovators, preventing market fragmentation, and enhancing governance and effective enforcement of existing law on fundamental rights and safety requirements applicable to AI systems.|6ec1993cb6834efb971aca75a23413c4|||
ai systems|harmonised rules for development, placement on the market and use of ai systems|proposal presents a balanced and proportionate horizontal regulatory approach to AI that sets harmonized rules for the development, placement on the market and use of AI systems in the Union following a proportional risk-based approach.|9cb733692b2f49dba4696c5f6dc1754e|||
ai systems|prohibited ai practices|the proposal sets harmonised rules for the development, placement on the market and use of AI systems in the Union following a proportional risk-based approach. Certain particularly harmful AI practices are prohibited as|9cb733692b2f49dba4696c5f6dc1754e|||
ai systems|ai practices linked to risks and problems|the proposal sets a robust and flexible legal framework. On the one hand, it is comprehensive and future-proof in its fundamental regulatory choices, including the principle-based requirements that AI systems should comply with. On the other hand, it puts in place a proportionate regulatory system centred on a well-defined risk-based regulatory approach that does not create unnecessary restrictions to trade, whereby legal intervention is tailored to those concrete situations where there is a justified cause for concern or where such concern can reasonably be anticipated in the near future.|9cb733692b2f49dba4696c5f6dc1754e|||
ai systems|market fragmentation|applications and prevent market fragmentation.|9cb733692b2f49dba4696c5f6dc1754e|||
ai practices|union values|certain particularly harmful AI practices are prohibited as contravening Union values|326ddb07962f4bd2a4814e9b41c94002|||
high-risk ai systems|significant risks to the health and safety or fundamental rights of persons|defined by a solid risk methodology in the proposal|326ddb07962f4bd2a4814e9b41c94002|||
horizontal mandatory requirements for trustworthy ai|high-risk ai systems|have to comply with before being placed on the Union market|326ddb07962f4bd2a4814e9b41c94002|||
conformity assessment procedures|high-risk ai systems|before being placed on the Union market|326ddb07962f4bd2a4814e9b41c94002|||
providers and users of those systems|safety and respect of existing legislation protecting fundamental rights throughout the whole ai systems' lifecycle|ensured by predictable, proportionate and clear obligations proposed in the proposal|326ddb07962f4bd2a4814e9b41c94002|||
specific ai systems|only minimum transparency obligations are proposed|in particular when chatbots or `deep fakes' are used|326ddb07962f4bd2a4814e9b41c94002|||
ai regulatory sandboxes|additional measures proposed to support innovation|-|326ddb07962f4bd2a4814e9b41c94002|||
union level|establishment of a european artificial intelligence board|-|326ddb07962f4bd2a4814e9b41c94002|||
small and medium-sized enterprises (smes)|consistency with existing policy provisions|In the proposal, measures to reduce regulatory burden for SMEs and start-ups are consistent with existing Union legislation applicable to sectors where high-risk AI systems are used or likely to be used in the near future. This consistency ensures full harmony with existing secondary Union legislation on data protection, consumer protection, non-discrimination, and gender equality.|49b2e8dc205848d4ac4ca19b9563aa56|||
consistency with existing policy provisions|the eu charter of fundamental rights|The proposal ensures consistency with the EU Charter of Fundamental Rights, which is an existing secondary Union legislation.|49b2e8dc205848d4ac4ca19b9563aa56|||
consistency with existing policy provisions|general data protection regulation (regulation (eu) 2016/679)|The proposal is without prejudice and complements the General Data Protection Regulation, which is an existing secondary Union legislation on data protection.|49b2e8dc205848d4ac4ca19b9563aa56|||
consistency with existing policy provisions|law enforcement directive (directive (eu) 2016/680)|The proposal is without prejudice and complements the Law Enforcement Directive, which is an existing secondary Union legislation on data protection.|49b2e8dc205848d4ac4ca19b9563aa56|||
consistency with existing policy provisions|high-risk ai systems|The proposal ensures consistency with existing Union legislation applicable to sectors where high-risk AI systems are used or likely to be used in the near future.|49b2e8dc205848d4ac4ca19b9563aa56|||
consistency with existing policy provisions|existing union law on non-discrimination|The proposal complements existing Union law on non-discrimination with specific requirements that aim to minimise the risk of algorithmic discrimination, in particular in relation to the design and the quality of data sets used for the development of AI systems.|49b2e8dc205848d4ac4ca19b9563aa56|||
high-risk ai systems which are safety components of products|union competition law|without prejudice to the application of Union competition law|c8adc3476bc54958a8d866add4bf73f4|||
high-risk ai systems related to products covered by the new legislative framework (nlf) legislation|requirements for ai systems set out in this proposal|will be checked as part of the existing conformity assessment procedures under the relevant NLF legislation|c8adc3476bc54958a8d866add4bf73f4|||
safety risks specific to ai systems|requirements for ai systems set out in this proposal|meant to be covered by the requirements of this proposal|c8adc3476bc54958a8d866add4bf73f4|||
overall safety of the final product|nlf legislation|aims at ensuring|c8adc3476bc54958a8d866add4bf73f4|||
high-risk ai systems related to products covered by relevant old approach legislation (e.g. aviation, cars)|this proposal would not directly apply||c8adc3476bc54958a8d866add4bf73f4|||
ex-ante essential requirements for high-risk ai systems|union's financial services legislation|should be taken into account when adopting relevant implementing or delegated legislation under those acts.|8232cd735e644d41a5a3272a7a6a7ef7|||
authorities responsible for the supervision of the union's financial services legislation|competent authorities for supervising the requirements in this proposal to ensure a coherent enforcement of the obligations under this proposal and the union's financial services legislation where ai systems are implicitly regulated||8232cd735e644d41a5a3272a7a6a7ef7|||
conformity assessment procedure|procedural obligations under this proposal are integrated into the procedures under directive 2013/36/eu on access to the activity of credit institutions and the prudential supervision||8232cd735e644d41a5a3272a7a6a7ef7|||
directive 2013/36/eu|credit institutions and investment firms, amending directive 2002/87/ec and repealing directives 2006/48/ec and 2006/49/ec text with eea relevance||8232cd735e644d41a5a3272a7a6a7ef7|||
ai systems|eu-lisa managed ai systems|The proposal will not apply to eu-LISA managed AI systems that have been placed on the market or put into service before one year has elapsed from the date of application of this Regulation, unless the replacement or amendment of those legal acts leads to a significant change in the design or intended purpose of the AI system or AI systems concerned.|482a5b2f5f514568827c2101c4975257|||
ai systems|white paper on ai|The proposal is part of a wider comprehensive package of measures that address problems posed by the development and use of AI, as examined in the White Paper on AI.|482a5b2f5f514568827c2101c4975257|||
ai systems|sectoral product legislation|Consistency is therefore ensured with other ongoing or planned initiatives of the Commission that also aim to address those problems, including the revision of sectoral product legislation (e.g. The Machinery Directive, the General Product Safety Directive).|482a5b2f5f514568827c2101c4975257|||
proposal|union legislation on services|The proposal is also consistent with the applicable Union legislation on services, including on intermediary services regulated by the e-Commerce Directive 2000/31/EC and the Commission's recent proposal for the Digital Services Act (DSA).|482a5b2f5f514568827c2101c4975257|||
ai systems|initiatives addressing liability issues related to new technologies|The proposal is coherent with the Commission's overall digital strategy in its contribution to promoting technology that works for people, one of the three main pillars of policy orientation and objectives announced in the Communication `Shaping Europe's digital future'. These initiatives will build on and complement this proposal in order to bring legal clarity and foster the development of an ecosystem of trust in AI in Europe.|7e5e4987e1054c5c90b2c2be5a712b31|||
ai systems|product legislation (e.g. the machinery directive, the general product safety directive)|The proposal is coherent with the Commission's overall digital strategy in its contribution to promoting technology that works for people, one of the three main pillars of policy orientation and objectives announced in the Communication `Shaping Europe's digital future'. This proposal ensures AI is developed in ways that respect people's rights and earn their trust.|7e5e4987e1054c5c90b2c2be5a712b31|||
ai systems|union's role to help shape global norms and standards|The proposal strengthens significantly the Union's role to help shape global norms and standards and promote trustworthy AI that is consistent with Union values and interests.|7e5e4987e1054c5c90b2c2be5a712b31|||
ai systems|data governance act|The promotion of AI-driven innovation is closely linked to the Data Governance Act, which will establish trusted mechanisms and services for the re-use, sharing and pooling of data that are essential for the development of data-driven AI models of high quality.|7e5e4987e1054c5c90b2c2be5a712b31|||
ai systems|open data directive|The promotion of AI-driven innovation is closely linked to other initiatives under the EU strategy for data, which will establish trusted mechanisms and services for the re-use, sharing and pooling of data that are essential for the development of data-driven AI models of high quality.|7e5e4987e1054c5c90b2c2be5a712b31|||
ai|union values and interests|standards and promote trustworthy AI that is consistent with Union values and interests|bc8b80c539734c3195717af91be4247d|||
directive on electronic commerce|proposal for a regulation of the european parliament and of the council on a single market for digital services (digital services act) and amending directive 2000/31/ec|See Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL on a Single Market For Digital Services (Digital Services Act) and amending Directive 2000/31/EC COM/2020/825 final.|bc8b80c539734c3195717af91be4247d|||
communication from the commission, shaping europe's digital future, com/2020/67 final.|2030 digital compass: the european way for the digital decade.|Communication from the Commission, Shaping Europe's Digital Future, COM/2020/67 final.|bc8b80c539734c3195717af91be4247d|||
proposal for a regulation on european data governance (data governance act) com/2020/767|directive (eu) 2019/1024 of the european parliament and of the council of 20 june 2019 on open data and the re-use of public sector information, pe/28/2019/rev/1|Proposal for a Regulation on European data governance (Data Governance Act) COM/2020/767.|bc8b80c539734c3195717af91be4247d|||
commission communication, a european strategy for data com/2020/66 final.|directive (eu) 2019/1024 of the european parliament and of the council of 20 june 2019 on open data and the re-use of public sector information, pe/28/2019/rev/1|Commission Communication, A European strategy for data COM/2020/66 final.|bc8b80c539734c3195717af91be4247d|||
article 114 tfeu|eu digital single market strategy|The legal basis for this proposal is primarily Article 114 TFEU, which provides for the adoption of measures to ensure the establishment and functioning of the internal market. This proposal is a core part of the EU digital single market strategy.|22a8c8b3b3be4c3db0c0d523e9b0c746|||
eu digital single market strategy|proper functioning of the internal market|The primary objective of this proposal is to ensure the proper functioning of the internal market by setting harmonised rules for AI technologies and systems.|22a8c8b3b3be4c3db0c0d523e9b0c746|||
member states|national rules|Some Member States are already considering national rules to ensure that AI is safe and developed and used in compliance with fundamental rights obligations.|22a8c8b3b3be4c3db0c0d523e9b0c746|||
ai products and services|fragmentation of the internal market|This will likely lead to a fragmentation of the internal market on essential elements regarding the requirements for AI products and services, their marketing, their use, the liability and the supervision by public authorities.|22a8c8b3b3be4c3db0c0d523e9b0c746|||
ai products and services|legal certainty|Given the wide circulation of products and services across borders, these two problems can be best solved through EU harmonizing legislation to ensure legal certainty for both providers and users of AI systems on how existing and new rules will apply to those systems in the Union.|22a8c8b3b3be4c3db0c0d523e9b0c746|||
ai systems|eu harmonizing legislation|The proposal defines common mandatory requirements applicable to the design and development of certain AI systems before they are placed on the market that will be further operationalised through harmonised technical standards. This highlights the relationship between AI systems and EU harmonizing legislation in addressing the two problems of cross-border design and development of AI systems.|570fd013c7e64adf8ea9138239c880ac|||
ai systems|harmonized technical standards|The proposal operationalizes common mandatory requirements applicable to the design and development of certain AI systems through harmonised technical standards. This indicates that harmonized technical standards are necessary for the effective implementation of common mandatory requirements for AI systems.|570fd013c7e64adf8ea9138239c880ac|||
ai systems|seamless circulation of products and services across the eu|An emerging patchwork of potentially divergent national rules will hamper the seamless circulation of products and services related to AI systems across the EU. This suggests that the lack of harmonized national rules may negatively impact the free movement of AI-related products and services within the EU.|570fd013c7e64adf8ea9138239c880ac|||
ai systems|non-exclusive competence|The nature of AI, which often relies on large and varied datasets and which may be embedded in any product or service circulating freely within the internal market, entails that the objectives of this proposal cannot be effectively achieved by Member States alone. This implies that the competence to regulate AI systems falls outside the exclusive sphere of Member States.|570fd013c7e64adf8ea9138239c880ac|||
ai systems|tfeu article 16|Considering that this proposal contains certain specific rules on the protection of individuals with regard to the processing of personal data, notably restrictions of the use of AI systems for `real-time' remote biometric identification in publicly accessible spaces for the purpose of law enforcement, it is appropriate to base this regulation, in as far as those specific rules are concerned, on Article 16 of the TFEU.|570fd013c7e64adf8ea9138239c880ac|||
ai systems|single market|The objectives of this proposal can be better achieved at Union level to avoid a further fragmentation of the Single Market into potentially contradictory national frameworks preventing the free circulation of goods and services embedding AI.|f0546d788db8404f846155193afaddc1|||
high risks to fundamental rights and safety|regulatory burdens|The proposal builds on existing legal frameworks and is proportionate and necessary to achieve its objectives, since it follows a risk-based approach and imposes regulatory burdens only when an AI system is likely to pose high risks to fundamental rights and safety.|f0546d788db8404f846155193afaddc1|||
non-high-risk ai systems|limited transparency obligations|For other, non-high-risk AI systems, only very limited transparency obligations are imposed,|f0546d788db8404f846155193afaddc1|||
ai systems|high-risk ai systems|For high-risk AI systems, the requirements of high quality data, documentation and traceability, transparency, human oversight, accuracy and robustness, are strictly necessary to mitigate the risks to fundamental rights and safety posed by AI and that are not covered by other existing legal frameworks.|89ae8e5826e04c38a0480ffd256ff5f1|||
ai systems|other, non-high-risk ai systems|Only very limited transparency obligations are imposed for these systems, as indicated in terms of the provision of information to flag the use of an AI system when interacting with humans.|89ae8e5826e04c38a0480ffd256ff5f1|||
ai systems|prohibition of certain harmful ai-enabled practices|This proposal aims to prohibit certain harmful AI-enabled practices, although the specifics are not explicitly mentioned in this context.|89ae8e5826e04c38a0480ffd256ff5f1|||
definition of ai|ai systems|The proposed regulation will introduce a harmonized set of core requirements with regard to AI systems, which will include a definition of AI as outlined in this context.|89ae8e5826e04c38a0480ffd256ff5f1|||
lawful, safe and trustworthy ai systems|ai systems|The proposed regulation aims to introduce core requirements for lawful, safe and trustworthy AI systems as highlighted in this context.|89ae8e5826e04c38a0480ffd256ff5f1|||
single market for lawful, safe and trustworthy ai systems|ai systems|The proposed regulation will facilitate the development of a single market for lawful, safe and trustworthy AI systems by introducing a harmonized set of core requirements as noted in this context.|89ae8e5826e04c38a0480ffd256ff5f1|||
direct applicability|regulation|The proposed regulation will have direct applicability, which is in accordance with Article 288 TFEU, as mentioned in this context.|89ae8e5826e04c38a0480ffd256ff5f1|||
legal instrument|choice of the instrument|The proposed regulation will be implemented through a specific legal instrument known as the choice of the instrument, which is discussed in this context.|89ae8e5826e04c38a0480ffd256ff5f1|||
consultation results|stakeholders|stakeholders provided 1215 contributions, including responses from commercial and non-commercial organizations, social partners, experts, academics, citizens, research institutions, public authorities, consumer's organizations, non-governmental organizations, trade unions, and business associations. The consultation results are available on the Commission's website.|25802a41e26944979f0f70e804d556f0|||
business and industry representatives|eu-27|84% of the 352 business and industry replies came from the EU-27. The rest were business associations.|25802a41e26944979f0f70e804d556f0|||
micro, small, and medium-sized enterprises|business and industry representatives|222 of the 352 business and industry representatives were companies and business representatives, 41.5% of which were micro, small, and medium-sized enterprises.|25802a41e26944979f0f70e804d556f0|||
en|academic/research institutions|EN had 7 academic/research institutions as respondents.|25802a41e26944979f0f70e804d556f0|||
trade unions|civil society's voices|Civil society's voices were represented by 160 respondents, including 22 trade unions.|25802a41e26944979f0f70e804d556f0|||
citizens|individuals|406 responses came from individuals, of which 92% were from the EU.|25802a41e26944979f0f70e804d556f0|||
free text option|respondents|Between 81 and 598 of the respondents used the free text option to insert comments.|25802a41e26944979f0f70e804d556f0|||
position papers|respondents|Over 450 position papers were submitted through the EU Survey website, either in addition to questionnaire answers or as stand-alone contributions.|25802a41e26944979f0f70e804d556f0|||
eu survey website|position papers|Position papers were submitted through the EU Survey website.|25802a41e26944979f0f70e804d556f0|||
need for action|legislative gaps|Overall, there is a general agreement amongst stakeholders on a need for action and several stakeholders warn the Commission to avoid duplication, conflicting obligations and overregulation. A large majority of stakeholders agree that legislative gaps exist or that new legislation is needed.|7ab4ef56578848099e6fff292e96498c|||
need for action|new legislation|Overall, there is a general agreement amongst stakeholders on a need for action and a large majority of stakeholders agree that legislative gaps exist or that new legislation is needed.|7ab4ef56578848099e6fff292e96498c|||
need for action|ai|Stakeholders mostly requested a narrow, clear and precise definition for AI.|7ab4ef56578848099e6fff292e96498c|||
risk|high-risk|Most of the respondents are explicitly in favour of the risk-based approach. Using a risk-based framework was considered a better option than blanket regulation of all AI systems.|7ab4ef56578848099e6fff292e96498c|||
harm|high-risk|Risks also should be calculated taking into account the impact on rights and safety.|7ab4ef56578848099e6fff292e96498c|||
low-risk|ai|Stakeholders mostly requested a narrow, clear and precise definition for AI.|7ab4ef56578848099e6fff292e96498c|||
remote biometric identification|ai|Most of the respondents are explicitly in favour of the risk-based approach. Using a risk-based framework was considered a better option than blanket regulation of all AI systems.|7ab4ef56578848099e6fff292e96498c|||
enforcement models|ex-ante risk self-assessment|More than 50%, especially from the business associations, were in favour of a combination of an ex-ante risk self-assessment and an ex-post enforcement for high-risk AI systems.|7ab4ef56578848099e6fff292e96498c|||
enforcement models|ex-post enforcement|More than 50%, especially from the business associations, were in favour of a combination of an ex-ante risk self-assessment and an ex-post enforcement for high-risk AI systems.|7ab4ef56578848099e6fff292e96498c|||
enforcement models|legislative gaps|Several stakeholders warn the Commission to avoid duplication, conflicting obligations and overregulation.|7ab4ef56578848099e6fff292e96498c|||
ai|technology neutral|Stakeholders also highlighted that besides the clarification of the term of AI, it is important to define `risk', `high-risk', `low-risk', `remote biometric identification' and `harm'. Most of the respondents are explicitly in favour of the risk-based approach. Using a risk-based framework was considered a better option than blanket regulation of all AI systems.|7ab4ef56578848099e6fff292e96498c|||
ai|proportionate regulatory framework|Stakeholders also highlighted that besides the clarification of the term of AI, it is important to define `risk', `high-risk', `low-risk', `remote biometric identification' and `harm'. Most of the respondents are explicitly in favour of the risk-based approach. Using a risk-based framework was considered a better option than blanket regulation of all AI systems.|7ab4ef56578848099e6fff292e96498c|||
regulatory sandboxes|ai|Regulatory sandboxes could be very useful for the promotion of AI and are welcomed by certain stakeholders, especially the Business Associations.|7ab4ef56578848099e6fff292e96498c|||
collection and use of expertise|legislative gaps|Among those who formulated their opinion on the enforcement models, more than 50%, especially from the business associations, were in favour of a combination of an ex-ante risk self-assessment and an ex-post enforcement for high-risk AI systems.|7ab4ef56578848099e6fff292e96498c|||
high-level expert group on ai|european commission|The High-Level Expert Group on AI advised the European Commission on implementing its strategy for Artificial Intelligence in 2018.|67dff0d0eca948168520a396ec816e83|||
hleg ethics guidelines for trustworthy ai|commission's strategy on artificial intelligence|The Commission endorsed the key requirements set out in the HLEG ethics guidelines for Trustworthy AI in 2019, which had been revised based on stakeholder submissions.|67dff0d0eca948168520a396ec816e83|||
altai|ai development and use principles|The Assessment List for Trustworthy Artificial Intelligence (ALTAI) made the requirements operational in a piloting process with over 350 organisations, based on value-oriented principles developed by many private and public organisations in Europe and beyond.|67dff0d0eca948168520a396ec816e83|||
academics|businesses|The proposal builds on two years of analysis and close involvement of stakeholders, including academics and businesses, in developing the strategy for Artificial Intelligence.|67dff0d0eca948168520a396ec816e83|||
social partners|non-governmental organisations|The proposal also involved social partners and non-governmental organisations in the development process.|67dff0d0eca948168520a396ec816e83|||
ai alliance|stakeholders|approximately 4000 stakeholders, including over 450 additional position papers, were part of the AI Alliance formed to debate the technological and societal implications of AI, culminating in a yearly AI Assembly.|0f5ac43f487549ae9f2f3793d59c4b36|||
white paper on ai|stakeholders|The White Paper on AI further developed this inclusive approach, inciting comments from more than 1250 stakeholders, including over 450 additional position papers.|0f5ac43f487549ae9f2f3793d59c4b36|||
commission's regulatory scrutiny board|impact assessment|The Commission conducted an impact assessment for this proposal examined by the Commission's Regulatory Scrutiny Board. A meeting with the Regulatory Scrutiny Board was held on 16 December 2020, which was followed by a negative opinion.|0f5ac43f487549ae9f2f3793d59c4b36|||
impact assessment|commission's regulatory scrutiny board|After substantial revision of the impact assessment to address the comments and a resubmission of the impact assessment, the Regulatory Scrutiny Board issued a positive opinion.|0f5ac43f487549ae9f2f3793d59c4b36|||
policy options|preferred option|the Commission examined four policy options to achieve the general objective of ensuring the proper functioning of the single market by creating the conditions for the development and use of trustworthy AI in the Union. Among these, the preferred option is option 3+, a regulatory framework for high-risk AI systems.|e9bbb1e705fd4e0d8b5b8fba386d8317|||
preferred option|eu legislative instrument following a proportionate risk-based approach|Option 3+ combines the EU legislative instrument following a proportionate risk-based approach with codes of conduct for non-high-risk AI systems.|e9bbb1e705fd4e0d8b5b8fba386d8317|||
preferred option|mandatory requirements for all ai systems|However, it still involves mandatory requirements for all AI systems, irrespective of the risk they pose.|e9bbb1e705fd4e0d8b5b8fba386d8317|||
eu legislative instrument following a proportionate risk-based approach|high-risk ai systems|The EU legislative instrument following a proportionate risk-based approach is applied specifically to high-risk AI systems.|e9bbb1e705fd4e0d8b5b8fba386d8317|||
eu legislative instrument setting up a voluntary labelling scheme|voluntary labelling scheme|Option 1 proposes an EU legislative instrument setting up a voluntary labelling scheme.|e9bbb1e705fd4e0d8b5b8fba386d8317|||
"sectoral, ""ad-hoc"" approach"|sectoral approach|Option 2 suggests a sectoral, 'ad-hoc' approach.|e9bbb1e705fd4e0d8b5b8fba386d8317|||
rights|fundamental rights|The preferred option is considered suitable to address in the most effective way the objectives of this proposal as it limits the risks of violation of fundamental rights. This demonstrates that the key concept 'rights' is related to 'fundamental rights'.|5f77b1a2df5c4c0aab18730a0c7a29ed|||
preferred option|restricted yet effective set of actions from ai developers and users|The preferred option requires a restricted yet effective set of actions from AI developers and users, which limits the risks of violation of fundamental rights and fosters effective supervision and enforcement by targeting high-risk AI systems.|5f77b1a2df5c4c0aab18730a0c7a29ed|||
high-risk ai systems|regulatory framework for high-risk ai systems|The preferred option introduces mandatory requirements, including data, documentation and traceability, provision of information and transparency, human oversight and robustness and accuracy, for high-risk AI systems. This demonstrates that the key concept 'high-risk AI systems' is related to a 'regulatory framework for high-risk AI systems'.|5f77b1a2df5c4c0aab18730a0c7a29ed|||
companies|codes of conduct for other ai systems|The preferred option allows companies that introduced codes of conduct for other AI systems to follow a code of conduct voluntarily. This demonstrates that the key concept 'companies' is related to 'codes of conduct for other AI systems'.|5f77b1a2df5c4c0aab18730a0c7a29ed|||
european commission|inception impact assessment for a proposal for a legal act of the european parliament and the council laying down requirements for artificial intelligence.|The context mentions that for details of all the consultations that have been carried out, one can refer to Annex 2 of the impact assessment conducted by the European Commission.|5f77b1a2df5c4c0aab18730a0c7a29ed|||
ai alliance|multi-stakeholder forum launched in june 2018|The context mentions that the AI Alliance is a multi-stakeholder forum launched by an unspecified organization in June 2018.|5f77b1a2df5c4c0aab18730a0c7a29ed|||
ai applications|high risk for safety and fundamental rights of citizens|Developers or users of AI applications that pose a high risk to safety and fundamental rights of citizens are required to conform with specific requirements as part of our preferred option.|8a5408ea4ef645a09e980ff69bbb1a5c|||
high risk for safety and fundamental rights of citizens|specific requirements|Our preferred option aims to address the high risks associated with AI applications that impact safety and fundamental rights of citizens by implementing specific requirements for their development and use.|8a5408ea4ef645a09e980ff69bbb1a5c|||
